단지명,도로명
까치마을,서울특별시강남구광평로19길10
네스빌(728-10),서울특별시강남구테헤란로28길47
네오블로썸,서울특별시강남구선릉로112길47
네오빌,서울특별시강남구강남대로132길42
노블스위트,서울특별시강남구역삼로19길14
노블카운티,서울특별시강남구도곡로19길13
노블테라스,서울특별시강남구봉은사로57길17
노빌리티빌리지,서울특별시강남구삼성로51길10-13
논현동월드메르디앙,서울특별시강남구학동로38길22
논현동프라임,서울특별시강남구논현로113길5
논현동한화꿈에그린,서울특별시강남구논현로111길39
논현라폴리움,서울특별시강남구학동로46길32
논현베르빌,서울특별시강남구학동로30길21
논현빌라트,서울특별시강남구선릉로137길6
논현아이파크,서울특별시강남구언주로615
논현아트빌,서울특별시강남구논현로124길7
논현웰스톤,서울특별시강남구학동로43길38
논현인텔(9-2),서울특별시강남구도산대로24길19
논현파라곤,서울특별시강남구학동로338
논현프라임아파트,서울특별시강남구봉은사로11길11
논현한가람빌라트,서울특별시강남구도산대로50길54
뉴엠빌라트,서울특별시강남구강남대로94길27-7
뉴현대,서울특별시강남구압구정로18길14-14
뉴현대리버빌,서울특별시강남구영동대로142길7
뉴현대파크빌,서울특별시강남구논현로2길61-4
다우림하우스,서울특별시강남구영동대로128길55
대림,서울특별시강남구남부순환로365길16
대림,서울특별시강남구논현로41길10
대림빌라트,서울특별시강남구압구정로29길51
대림아크로빌,서울특별시강남구언주로30길13
대림역삼,서울특별시강남구언주로316
대명벨리온,서울특별시강남구역삼로25길27
대명비발디,서울특별시강남구도곡로6길18
대성아파트,서울특별시강남구논현로151길45
대우디오빌,서울특별시강남구강남대로256
대우디오빌,서울특별시강남구언주로427
대우디오빌플러스,서울특별시강남구강남대로84길33
대우리츠카운티,서울특별시강남구도산대로83길35
대우멤버스카운티(101동),서울특별시강남구영동대로114길71-3
대우멤버스카운티(102동),서울특별시강남구영동대로118길76
대우멤버스카운티201,서울특별시강남구봉은사로57길37
대우멤버스카운티301,서울특별시강남구봉은사로57길33
대우멤버스카운티501,서울특별시강남구봉은사로55길36
대우멤버스카운티Ⅱ,서울특별시강남구도산대로100길22-15
대우아이빌멤버스(891-26),서울특별시강남구삼성로85길42
대우아이빌명문가(891-23),서울특별시강남구선릉로90길56
청담대우유로카운티,서울특별시강남구도산대로92길10
대치SKVIEW,서울특별시강남구삼성로51길25
대치더클래스,서울특별시강남구
대치더클래스,서울특별시강남구삼성로51길10-14
대치동더블유타워,서울특별시강남구역삼로555
대치동우정에쉐르1,서울특별시강남구삼성로85길38
대치동우정에쉐르2(890-42),서울특별시강남구테헤란로68길15
대치삼성,서울특별시강남구도곡로78길22
대치아이파크,서울특별시강남구선릉로222
대치우성아파트1동2동3동5동6동7동,서울특별시강남구영동대로230
대치주성,서울특별시강남구삼성로68길5
대치타워,서울특별시강남구삼성로71길11-8
대치하나빌,서울특별시강남구삼성로57길37-5
대치한신휴플러스,서울특별시강남구선릉로76길12
대치현대,서울특별시강남구삼성로64길5
대치효성,서울특별시강남구삼성로64길12
더갤러리파크,서울특별시강남구영동대로141길14
더그레이스,서울특별시강남구언주로125길12
더원센트럴,서울특별시강남구학동로53길3-8
도곡1차아이파크,서울특별시강남구도곡로28길8
도곡2차I'PARK,서울특별시강남구도곡로14길28
도곡3차아이파크,서울특별시강남구도곡로14길21
도곡3차아이파크,서울특별시강남구도곡로14길27
도곡그린빌,서울특별시강남구강남대로44길24
도곡동STAY77,서울특별시강남구남부순환로351길4
도곡렉슬,서울특별시강남구선릉로221
도곡루아르,서울특별시강남구도곡로128
도곡스타빌,서울특별시강남구남부순환로370길20
도곡스타클래스,서울특별시강남구남부순환로2615
도곡쌍용예가,서울특별시강남구남부순환로363길30
도곡우성아파트,서울특별시강남구남부순환로363길49
도곡지웰카운티101동,서울특별시강남구남부순환로373길3
도곡지웰카운티102동,서울특별시강남구남부순환로373길9
도곡푸르지오,서울특별시강남구강남대로54길6
도곡푸르지오102동,서울특별시강남구강남대로272
도곡하이빌,서울특별시강남구남부순환로363길9-6
도곡현대힐스테이트101동,서울특별시강남구남부순환로379길15
도곡현대힐스테이트102동,서울특별시강남구남부순환로377길18
도곡현대힐스테이트103동,서울특별시강남구남부순환로379길19
도곡현대힐스테이트105동,서울특별시강남구남부순환로377길22
동구싼타빌,서울특별시강남구영동대로112길24
동민맥스빌A동,서울특별시강남구선릉로62길38
동민맥스빌B동,서울특별시강남구도곡로69길7
동부센트레빌,서울특별시강남구언주로116길6
동부센트레빌,서울특별시강남구선릉로206
동부센트레빌,서울특별시강남구선릉로423
동양,서울특별시강남구선릉로72길10-7
동양파라곤,서울특별시강남구언주로130길30
동양파라곤,서울특별시강남구학동로97길31
동원스위트뷰역삼,서울특별시강남구역삼로19길25
동익,서울특별시강남구광평로39길3
동일파크스위트,서울특별시강남구영동대로112길67
동현아파트1~6,서울특별시강남구언주로146길18
두산위브1단지,서울특별시강남구학동로46길38
두산위브2단지,서울특별시강남구언주로122길25
두영,서울특별시강남구논현로124길8
디에이치아너힐즈,서울특별시강남구삼성로11
디에이치아너힐즈,서울특별시강남구
디에이치자이개포,서울특별시강남구영동대로22
디에이치포레센트,서울특별시강남구개포로110길38
라이헤스빌,서울특별시강남구선릉로137길21
라테라스청담,서울특별시강남구학동로81길9
래미안강남힐즈,서울특별시강남구자곡로101
래미안개포루체하임,서울특별시강남구개포로110길50
래미안그레이튼,서울특별시강남구도곡로43길20
래미안그레이튼(진달래2차),서울특별시강남구도곡로43길21
래미안그레이튼(진달래2차),서울특별시강남구도곡로306
래미안대치팰리스,서울특별시강남구삼성로51길35
래미안대치팰리스,서울특별시강남구삼성로51길37
래미안대치하이스턴,서울특별시강남구도곡로93길12
래미안도곡카운티,서울특별시강남구도곡로320
래미안라클래시,서울특별시강남구삼성로651
래미안라클래시,서울특별시강남구
래미안블레스티지,서울특별시강남구선릉로8
래미안블레스티지,서울특별시강남구
래미안삼성1차(103-22),서울특별시강남구영동대로114길56
래미안삼성1차(105-0),서울특별시강남구영동대로114길56
래미안삼성1차(201동),서울특별시강남구영동대로114길56
래미안삼성2차,서울특별시강남구선릉로130길20
래미안신사,서울특별시강남구압구정로2길20
청담래미안로이뷰,서울특별시강남구영동대로142길16
래미안펜타빌,서울특별시강남구역삼로309
래미안포레,서울특별시강남구밤고개로21길25
럭키(462),서울특별시강남구남부순환로2740
럭키(963),서울특별시강남구논현로213
레미안삼성1차(101동),서울특별시강남구영동대로114길56
로데오현대,서울특별시강남구압구정로50길28
로덴하우스웨스트빌리지,서울특별시강남구남부순환로378길11
로덴하우스이스트빌리지,서울특별시강남구남부순환로378길9
로얄빌리지,서울특별시강남구테헤란로21길18
로얄팰리스,서울특별시강남구테헤란로13길45
로체샤르캐슬,서울특별시강남구언주로136길16
롯데캐슬,서울특별시강남구삼성로85길11
롯데캐슬노블,서울특별시강남구도곡로13길19
롯데캐슬리베,서울특별시강남구도곡로404
롯데캐슬모닝,서울특별시강남구도곡로14길12
롯데캐슬프레미어,서울특별시강남구선릉로126길22
리갈팰리스,서울특별시강남구도산대로35길46
리더스,서울특별시강남구논현로2길62
리더스빌,서울특별시강남구논현로113길7
리츠빌아파트,서울특별시강남구논현로64길28
리치타워,서울특별시강남구논현로105길52
마블하우스,서울특별시강남구봉은사로51길36
마일스디오빌,서울특별시강남구학동로165
마크힐스웨스트윙,서울특별시강남구영동대로142길21
마크힐스이스트윙,서울특별시강남구영동대로142길19
매봉삼성,서울특별시강남구언주로203
메트로,서울특별시강남구삼성로75길34
명인갤러리,서울특별시강남구언주로75길22
명인갤러리2차,서울특별시강남구역삼로237
목련타운,서울특별시강남구광평로19길15
목화,서울특별시강남구도산대로85길53
미도맨션3차,서울특별시강남구남부순환로397길5
미성1차,서울특별시강남구압구정로11길17
미성2차,서울특별시강남구압구정로113
미켈란107,서울특별시강남구영동대로602
미켈란147,서울특별시강남구봉은사로516
범신칼릭스빌,서울특별시강남구도산대로89길12
베스젠빌,서울특별시강남구논현로97길74
벨라빌,서울특별시강남구남부순환로375길6
벨러스빌,서울특별시강남구학동로5길17
불루밍코트,서울특별시강남구논현로71길46
브라운스톤역삼,서울특별시강남구역삼로171
브르넨삼성,서울특별시강남구영동대로122길2
블루밍하우스,서울특별시강남구학동로82길25
블루밍하우스,서울특별시강남구학동로82길27
비쥬힐,서울특별시강남구학동로21길23
빌폴라리스,서울특별시강남구압구정로79길76
삼경하이빌1,서울특별시강남구도곡로2길46
삼경하이빌2,서울특별시강남구강남대로48길15
삼부아그레빌,서울특별시강남구영동대로114길63
삼부아파트(101동),서울특별시강남구봉은사로111길26
삼부아파트102동,서울특별시강남구봉은사로111길34
삼성,서울특별시강남구남부순환로379길14
삼성,서울특별시강남구광평로31길27
삼성,서울특별시강남구개포로124길27
삼성2차,서울특별시강남구삼성로57길45
삼성3차,서울특별시강남구도곡로78길13
삼성그랑빌,서울특별시강남구삼성로104길5
삼성더파크뷰,서울특별시강남구선릉로108길33
삼성동대성유니드,서울특별시강남구테헤란로77길26
삼성동드림하우스,서울특별시강남구봉은사로71길19
삼성동라테라스,서울특별시강남구봉은사로645
삼성동롯데아파트,서울특별시강남구학동로432
삼성동롯데캐슬킹덤,서울특별시강남구선릉로112길53
삼성동브라운스톤레전드,서울특별시강남구선릉로660
삼성동센트럴아이파크,서울특별시강남구삼성로629
삼성동신도브래뉴,서울특별시강남구삼성로103길12
삼성동신영지웰,서울특별시강남구봉은사로448
삼성동씨엘케이,서울특별시강남구학동로410
삼성동에스케이뷰,서울특별시강남구봉은사로109길14-8
삼성동중앙하이츠빌리지,서울특별시강남구학동로68길30
삼성동한솔아파트,서울특별시강남구학동로64길7
삼성동헤렌하우스2(82-4),서울특별시강남구영동대로128길51
삼성동힐스테이트1단지,서울특별시강남구학동로68길29
삼성래미안,서울특별시강남구남부순환로2803
삼성루첸시아,서울특별시강남구삼성로120길17
삼성리치빌1,서울특별시강남구학동로82길6
삼성벨라스빌,서울특별시강남구봉은사로63길47
삼성빌라트,서울특별시강남구학동로31길29
삼성아셈,서울특별시강남구봉은사로82길24
삼성아트빌,서울특별시강남구영동대로112길26
삼성오네뜨,서울특별시강남구테헤란로79길42
삼성월드타워,서울특별시강남구학동로408
삼성웰피아,서울특별시강남구테헤란로77길31
삼성청담공원아파트,서울특별시강남구도산대로96길39
청담래미안,서울특별시강남구학동로405
삼성파크,서울특별시강남구삼성로99길14
삼성팰리스(71-16),서울특별시강남구삼성로112길8
삼성펠리스,서울특별시강남구테헤란로79길31
삼성풍림2차아파트,서울특별시강남구봉은사로105길12-7
삼익,서울특별시강남구논현로218
삼익,서울특별시강남구광평로51길27
삼익대청아파트,서울특별시강남구개포로109길21
삼호,서울특별시강남구도곡로242
삼호빌라A동,서울특별시강남구도산대로83길43
삼호빌라B동,서울특별시강남구도산대로83길49
삼호빌라씨동,서울특별시강남구도산대로83길55
청담삼환,서울특별시강남구학동로77길49
삼환SOGOOD,서울특별시강남구도곡로413
상록수,서울특별시강남구광평로10길15
상록스타힐스,서울특별시강남구영동대로16
상아빌라트,서울특별시강남구봉은사로71길13
상지리츠빌,서울특별시강남구개포로405
상지리츠빌(127-16),서울특별시강남구도산대로101길15
상지리츠빌(1호라인),서울특별시강남구언주로320
상지리츠빌(2호라인),서울특별시강남구언주로322
상지리츠빌4A,서울특별시강남구압구정로77길43
상지리츠빌4B,서울특별시강남구압구정로77길39
상지리츠빌5A,서울특별시강남구도산대로89길36
상지리츠빌5B,서울특별시강남구도산대로101길17-5
상지리츠빌6,서울특별시강남구도산대로85길52
상지리츠빌9차,서울특별시강남구압구정로77길27
상지리츠빌역삼2차,서울특별시강남구도곡로43길37
상지리츠빌카일룸,서울특별시강남구남부순환로373길23
상지리츠빌카일룸(1009-4),서울특별시강남구도곡로603
상지리츠빌카일룸(65-4),서울특별시강남구삼성로636
상지리츠빌카일룸2차,서울특별시강남구압구정로79길87
상지리츠빌카일룸3차,서울특별시강남구압구정로79길72
상지카일룸,서울특별시강남구도산대로101길38
새롬(1164-12),서울특별시강남구논현로2길34
새롬(1164-13),서울특별시강남구논현로2길36
새롬(1164-14),서울특별시강남구논현로2길38
샘터마을,서울특별시강남구일원로120
서광아파트,서울특별시강남구선릉로130길19
석탑아파트101동,서울특별시강남구학동로412
선경1차(1동-7동),서울특별시강남구삼성로151
선경2차(8동-12동),서울특별시강남구삼성로151
선경3차,서울특별시강남구남부순환로395길10
선릉역대우아이빌(890-49),서울특별시강남구테헤란로64길9
선릉역풍림아이원레몬,서울특별시강남구테헤란로64길13
성영forU,서울특별시강남구선릉로107길24
성원대치2단지아파트,서울특별시강남구개포로109길9
세곡리엔파크(3단지),서울특별시강남구헌릉로590길11
세곡리엔파크(4단지),서울특별시강남구헌릉로590길88
세곡푸르지오,서울특별시강남구자곡로21
세방타운하우스,서울특별시강남구삼성로120길21
세방하이빌1,서울특별시강남구역삼로240
세방하이빌2,서울특별시강남구역삼로240-1
세연파크뷰,서울특별시강남구삼성로63길16-5
세영팔레스타운,서울특별시강남구영동대로65길57
세종빌라트,서울특별시강남구도곡로23길31
세호시티라이프,서울특별시강남구강남대로128길27
수서,서울특별시강남구양재대로55길12
수서한아름,서울특별시강남구광평로51길22
스위트캐슬레지던스,서울특별시강남구학동로7길6
스카이써밋아파트,서울특별시강남구삼성로67길14
시니어스홈,서울특별시강남구자곡로100-2
시티(A동),서울특별시강남구봉은사로109길66-1
시티(B동),서울특별시강남구봉은사로109길66-7
시티프라디움더강남101동,서울특별시강남구언주로557
시티프라디움더강남201동,서울특별시강남구언주로555
신동아,서울특별시강남구광평로47길17
신동아,서울특별시강남구학동로105길30
신동아,서울특별시강남구논현로118길17
신동아(22),서울특별시강남구강남대로146길28
신동아빌라트,서울특별시강남구도산대로81길61
신사동닛시빌라트,서울특별시강남구압구정로42길46
신사동씨티빌,서울특별시강남구강남대로162길27-26
신사아이빌(522),서울특별시강남구압구정로2길15
신사아크존2,서울특별시강남구압구정로34길49
신사파크빌A동,서울특별시강남구도산대로23길18
신사파크빌B동,서울특별시강남구도산대로25길15-17
신성미소시티,서울특별시강남구역삼로451
신성아파트101동,서울특별시강남구언주로167길15
신현대11차,서울특별시강남구압구정로151
신현대12차,서울특별시강남구압구정로151
신현대9차,서울특별시강남구압구정로151
심포니하우스,서울특별시강남구삼성로120길6
쌍용,서울특별시강남구도산대로50길43
쌍용,서울특별시강남구언주로101
쌍용대치2,서울특별시강남구영동대로220
쌍용대치아파트1동2동3동5동6동,서울특별시강남구영동대로210
쌍용플래티넘,서울특별시강남구봉은사로474
쌍용플레티넘밸류,서울특별시강남구테헤란로4길46
쎄비앙101동,서울특별시강남구언주로69길31
쎄비앙102동,서울특별시강남구역삼로34길25
씨티2차(201동),서울특별시강남구선릉로190길92
씨티2차(202동),서울특별시강남구선릉로190길90
씨티3차,서울특별시강남구도산대로83길58
아델하우스,서울특별시강남구학동로82길29
아람손프라자/비바빌,서울특별시강남구논현로2길22
아름빌(889-74),서울특별시강남구선릉로86길11
아셈,서울특별시강남구영동대로112길22
아이파크,서울특별시강남구영동대로640
아카데미스위트1,서울특별시강남구언주로30길21
아크로힐스논현,서울특별시강남구언주로604
아티스톤,서울특별시강남구역삼로409
아펠바움,서울특별시강남구영동대로114길72
알파임하우스1,서울특별시강남구언주로164길20
압구정Ainvill,서울특별시강남구논현로154길12
압구정대원칸타빌아파트,서울특별시강남구압구정로48길15
압구정케이씨씨(622-1),서울특별시강남구언주로167길9
압구정하이츠파크,서울특별시강남구압구정로42길78
압구정화이트빌,서울특별시강남구논현로154길11
애플타운,서울특별시강남구강남대로146길13
에레프,서울특별시강남구역삼로3길17-4
에버그린,서울특별시강남구선릉로8길5
에벤에셀빌라트,서울특별시강남구언주로104길35
에비뉴나인티,서울특별시강남구도산대로59길24
에스케이허브젠,서울특별시강남구역삼로109
LH강남3단지,서울특별시강남구자곡로3길22
LH강남힐스테이트아파트,서울특별시강남구자곡로3길21
엘에이치삼성도시형생활주택,서울특별시강남구영동대로112길46
엘지빌라,서울특별시강남구압구정로75길40
역삼2차아이파크,서울특별시강남구도곡로57길12
역삼I'PARK,서울특별시강남구역삼로307
역삼동골든베리힐,서울특별시강남구논현로102길4
역삼동그린비,서울특별시강남구언주로103길12
역삼동우정에쉐르1,서울특별시강남구테헤란로4길32
역삼동월드메르디앙,서울특별시강남구도곡로21길15
역삼동칼라,서울특별시강남구논현로101길6
역삼동프라임,서울특별시강남구언주로97길22
역삼동하나빌,서울특별시강남구봉은사로312
역삼디오슈페리움,서울특별시강남구강남대로324
역삼래미안,서울특별시강남구선릉로69길19
역삼르비앙1,서울특별시강남구도곡로11길13
역삼센트럴2차아이파크,서울특별시강남구역삼로307-1
역삼엔스위트1,서울특별시강남구언주로103길16
역삼엔스위트102동,서울특별시강남구언주로103길14
역삼예명,서울특별시강남구봉은사로34길53
역삼우성,서울특별시강남구테헤란로13길35-6
역삼우정에쉐르2,서울특별시강남구테헤란로48길10
역삼이안애비,서울특별시강남구논현로70길16
역삼이안애에이,서울특별시강남구논현로70길14
역삼자이,서울특별시강남구언주로420
역삼카이스아파트,서울특별시강남구도곡로7길23
역삼푸르지오,서울특별시강남구언주로332
연세리버빌,서울특별시강남구선릉로190길72
연세리버빌3,서울특별시강남구선릉로190길84
연세리버빌7차A동,서울특별시강남구압구정로79길61-9
연세리버빌7차B동,서울특별시강남구압구정로79길61-9
연세리버테라스,서울특별시강남구선릉로190길64
연세빌라(102-6),서울특별시강남구선릉로190길78
연세청담파크빌,서울특별시강남구삼성로140길35
연세힐하우스1,서울특별시강남구압구정로71길30-11
영무예다음,서울특별시강남구봉은사로72길33
영풍마드레빌,서울특별시강남구학동로63길13
예지인,서울특별시강남구테헤란로10길42
예지향,서울특별시강남구역삼로33길13
오투빌(파크앤스위트),서울특별시강남구역삼로7길13
요진보네르,서울특별시강남구학동로5길20
요진와이시티미니,서울특별시강남구역삼로25길21
우림루미아트,서울특별시강남구봉은사로81길8
우림루미아트1,서울특별시강남구언주로90길6
우림루미아트2,서울특별시강남구언주로90길4
우민,서울특별시강남구언주로136길21
우성,서울특별시강남구강남대로120길58
개포4차우성,서울특별시강남구언주로117
개포7차우성,서울특별시강남구개포로110길15
우성8,서울특별시강남구개포로411
우성9차아파트901동902동,서울특별시강남구개포로311
우성리빙텔,서울특별시강남구언주로30길27
우성사원5,서울특별시강남구언주로29길34
우성아파트,서울특별시강남구삼성로147길22
우성캐릭터199,서울특별시강남구언주로118
우성캐릭터빌,서울특별시강남구언주로122
우정에쉐르,서울특별시강남구영동대로85길17
우정에쉐르,서울특별시강남구선릉로130길33
우정에쉐르2,서울특별시강남구테헤란로77길8
우정에쉐르3,서울특별시강남구언주로86길25
우정에쉐르멤버스,서울특별시강남구선릉로87길14
우찬,서울특별시강남구압구정로18길14-12
우찬현대(1260-11),서울특별시강남구개포로31길3-12
우찬현대(1260-2),서울특별시강남구개포로31길9-9
우찬현대(1260-4),서울특별시강남구개포로31길9-5
울트라멤버스,서울특별시강남구남부순환로381길25
원팰리스,서울특별시강남구남부순환로351길23
월드메르디앙101동,서울특별시강남구남부순환로373길15
월드메르디앙102동,서울특별시강남구남부순환로373길14
월드빌,서울특별시강남구영동대로85길17-7
월드쉐르빌,서울특별시강남구강남대로124길51
월성빌라트,서울특별시강남구영동대로114길23
위레벤646,서울특별시강남구영동대로646
유로미아파트A동,서울특별시강남구압구정로14길16
유로미아파트B동,서울특별시강남구압구정로14길20
은마,서울특별시강남구삼성로212
은탑리더스카운티,서울특별시강남구학동로9길15
은하수,서울특별시강남구언주로70길24
이니그마빌,서울특별시강남구압구정로62길17-4
이니그마빌-III,서울특별시강남구남부순환로373길21
이산,서울특별시강남구논현로111길34
이스턴오피스텔,서울특별시강남구테헤란로14길13
이안애2차,서울특별시강남구테헤란로77길27
이안애빌,서울특별시강남구봉은사로68길65
이지마루역삼,서울특별시강남구테헤란로27길8-14
장자울아파트,서울특별시강남구논현로160길20
정원,서울특별시강남구테헤란로14길42
제이빌,서울특별시강남구학동로43길30
조이너스,서울특별시강남구역삼로19길12
조이너스도곡,서울특별시강남구강남대로48길24
좋은사람좋은집,서울특별시강남구언주로90길8
주공2,서울특별시강남구선릉로8
중명하니빌,서울특별시강남구남부순환로365길5
지고하임(101동),서울특별시강남구학동로9길21
지고하임(102동),서울특별시강남구강남대로136길40
지석천평대,서울특별시강남구논현로71길48
진넥스빌2,서울특별시강남구언주로86길7
진흥아마란스,서울특별시강남구언주로157길23
진흥아파트,서울특별시강남구학동로88길5
청담삼성진흥,서울특별시강남구학동로513
진흥아파트,서울특별시강남구학동로87길9
채널리저브,서울특별시강남구삼성로517
청구아파트,서울특별시강남구영동대로128길5
청담2차이-편한세상(201동202동203동),서울특별시강남구도산대로70길25
청담2차이-편한세상(204동),서울특별시강남구도산대로70길43
청담2차이-편한세상(205동),서울특별시강남구도산대로78길51
청담3차이-편한세상(301동),서울특별시강남구선릉로132길54
청담4차이-편한세상,서울특별시강남구학동로73길33
청담8차상지리츠빌,서울특별시강남구도산대로83길22
청담CJ빌리지,서울특별시강남구도산대로99길42
청담건영아파트,서울특별시강남구도산대로89길49
청담그랑빌,서울특별시강남구학동로77길5
청담대림,서울특별시강남구학동로77길27
청담대우로얄카운티5차,서울특별시강남구도산대로100길30
청담대우로얄카운티6차,서울특별시강남구압구정로71길20
청담대우멤버스카운티10차,서울특별시강남구도산대로87길34
청담대우멤버스카운티11차,서울특별시강남구도산대로87길23
청담대우멤버스카운티12차,서울특별시강남구도산대로99길30
청담대우멤버스카운티6차,서울특별시강남구도산대로87길38
청담대우멤버스카운티7차,서울특별시강남구도산대로85길50-14
청담대우멤버스카운티8차,서울특별시강남구도산대로85길50-10
청담대우멤버스카운티9차,서울특별시강남구도산대로99길28-7
청담삼성1차,서울특별시강남구삼성로133길20
청담동현대빌라트,서울특별시강남구도산대로83길36
청담디에브스아파트,서울특별시강남구도산대로92길28
청담로얄카운티,서울특별시강남구도산대로83길27
청담린든그로브,서울특별시강남구학동로97길51
청담매스터빌,서울특별시강남구도산대로81길69
청담범신칼릭스빌2차,서울특별시강남구도산대로89길35
청담삼익아파트,서울특별시강남구학동로609
청담스위트,서울특별시강남구학동로73길13
청담신원아침도시마인,서울특별시강남구도산대로85길30
청담아르지움,서울특별시강남구삼성로135길15
청담아이파크,서울특별시강남구영동대로142길25
청담어퍼하우스,서울특별시강남구학동로81길28
청담우방아파트,서울특별시강남구학동로409
청담자이,서울특별시강남구영동대로138길12
청담파라곤Ⅱ1단지,서울특별시강남구압구정로71길32
청담파라곤Ⅱ2단지,서울특별시강남구선릉로190길68
청담파크빌,서울특별시강남구학동로437-5
청담포레,서울특별시강남구도산대로98길31
청담현대3차,서울특별시강남구도산대로101길29
청담힐(에이동)진도(비동),서울특별시강남구압구정로77길36
청담힐(에이동)진도(비동),서울특별시강남구압구정로77길42
청림빌,서울특별시강남구논현로153길42
청암빌라트,서울특별시강남구남부순환로391길7
청원,서울특별시강남구도곡로69길16
청학아파트에이동비동씨동,서울특별시강남구도산대로232
체리빌,서울특별시강남구압구정로18길14-8
케럿스테이트,서울특별시강남구봉은사로51길40
케이씨빌,서울특별시강남구선릉로137길20
타워팰리스1차,서울특별시강남구언주로30길56
타워팰리스2차,서울특별시강남구언주로30길57
타워팰리스G동,서울특별시강남구언주로30길26
탑팰리스,서울특별시강남구언주로81길31
테크노빌라트,서울특별시강남구선릉로111길38-16
테헤란로대우아이빌,서울특별시강남구테헤란로428
테헤란IPARK,서울특별시강남구테헤란로52길16
토미,서울특별시강남구논현로158길17
토미빌(228-9),서울특별시강남구봉은사로29길25
트레벨,서울특별시강남구도곡로57길9-7
파크힐,서울특별시강남구도곡로14길14-1
펜트힐루논현,서울특별시강남구언주로641
포스코더샵,서울특별시강남구삼성로417
포스코트,서울특별시강남구남부순환로381길15
포스코트,서울특별시강남구봉은사로510
포스틸빌라트,서울특별시강남구테헤란로20길36
포이벨리,서울특별시강남구양재대로379
포이현대빌라트,서울특별시강남구논현로4길50
